,Province,U_R,COICOP,Index,Weights,Date,CPI,Level,Month
0,0,1,00,GENERAL INDEX (CPI),9999.999999999996,2009-02-01,81.38720989681737,Urban,February
1,0,1,01,Food and non-alcoholic beerages,2737.905830276656,2009-02-01,76.52967387814563,Urban,February
2,0,1,01.1.1,Bread and cereals,539.3638606485538,2009-02-01,85.49533849750897,Urban,February
3,0,1,01.1.2,Meat,197.40035443603645,2009-02-01,86.10215209876291,Urban,February
4,0,1,01.1.4,"Milk, cheese and eggs",132.06730190968523,2009-02-01,61.97794623059147,Urban,February
5,0,1,01.1.7,Vegetables,885.603708112186,2009-02-01,72.35247208214895,Urban,February
6,0,1,01.2,Non-alcoholic beerages,132.12406477416687,2009-02-01,83.69167248234423,Urban,February
7,0,1,02,Alcoholic beerages and tobacco,485.3264091869946,2009-02-01,76.52815603392197,Urban,February
8,0,1,03,Clothing and footwear,530.7676668306442,2009-02-01,84.40490667796921,Urban,February
9,0,1,04,"Housing, water, electricity, gas and other fuels",2075.484272456249,2009-02-01,89.83389633791055,Urban,February
10,0,1,05,"Furnishing, household equipment and routine household maintenance",375.48340240274274,2009-02-01,93.20925130089923,Urban,February
11,0,1,06,Health,132.54444317531355,2009-02-01,87.51749415074454,Urban,February
12,0,1,07,Transport,1245.1702845755299,2009-02-01,78.0161584042522,Urban,February
13,0,1,08,Communication,314.3098917023506,2009-02-01,110.58983652369703,Urban,February
14,0,1,09,Recreation and culture,307.16719129739846,2009-02-01,95.78066892070801,Urban,February
15,0,1,10,Education,274.8664135596747,2009-02-01,53.188490500069655,Urban,February
16,0,1,11,Restaurants and hotels,882.054431118825,2009-02-01,85.4578073025513,Urban,February
17,0,1,12,Miscellaneous goods and serices,638.9197634176433,2009-02-01,89.26134372858809,Urban,February
18,0,1,00,GENERAL INDEX (CPI),9999.999999999996,2009-03-01,82.06822032351884,Urban,March
19,0,1,01,Food and non-alcoholic beerages,2737.905830276656,2009-03-01,78.05534774884696,Urban,March
20,0,1,01.1.1,Bread and cereals,539.3638606485538,2009-03-01,86.97121765380963,Urban,March
21,0,1,01.1.2,Meat,197.40035443603645,2009-03-01,85.43716798182412,Urban,March
22,0,1,01.1.4,"Milk, cheese and eggs",132.06730190968523,2009-03-01,62.612971368395755,Urban,March
23,0,1,01.1.7,Vegetables,885.603708112186,2009-03-01,75.53968658066286,Urban,March
24,0,1,01.2,Non-alcoholic beerages,132.12406477416687,2009-03-01,83.16442549377209,Urban,March
25,0,1,02,Alcoholic beerages and tobacco,485.3264091869946,2009-03-01,79.36623968023652,Urban,March
26,0,1,03,Clothing and footwear,530.7676668306442,2009-03-01,84.56563213953439,Urban,March
27,0,1,04,"Housing, water, electricity, gas and other fuels",2075.484272456249,2009-03-01,90.2147680128108,Urban,March
28,0,1,05,"Furnishing, household equipment and routine household maintenance",375.48340240274274,2009-03-01,93.39532695511917,Urban,March
29,0,1,06,Health,132.54444317531355,2009-03-01,87.78477275511847,Urban,March
30,0,1,07,Transport,1245.1702845755299,2009-03-01,78.06759004858144,Urban,March
31,0,1,08,Communication,314.3098917023506,2009-03-01,110.00514050162563,Urban,March
32,0,1,09,Recreation and culture,307.16719129739846,2009-03-01,96.35016034689058,Urban,March
33,0,1,10,Education,274.8664135596747,2009-03-01,53.188490500069655,Urban,March
34,0,1,11,Restaurants and hotels,882.054431118825,2009-03-01,85.65930877166716,Urban,March
35,0,1,12,Miscellaneous goods and serices,638.9197634176433,2009-03-01,87.18411526526485,Urban,March
36,0,1,00,GENERAL INDEX (CPI),9999.999999999996,2009-04-01,81.93494127167575,Urban,April
37,0,1,01,Food and non-alcoholic beerages,2737.905830276656,2009-04-01,77.66742650494807,Urban,April
38,0,1,01.1.1,Bread and cereals,539.3638606485538,2009-04-01,84.66488546983918,Urban,April
39,0,1,01.1.2,Meat,197.40035443603645,2009-04-01,86.03392988171835,Urban,April
40,0,1,01.1.4,"Milk, cheese and eggs",132.06730190968523,2009-04-01,62.21364236733617,Urban,April
41,0,1,01.1.7,Vegetables,885.603708112186,2009-04-01,75.85999350865683,Urban,April
42,0,1,01.2,Non-alcoholic beerages,132.12406477416687,2009-04-01,82.48371950516561,Urban,April
43,0,1,02,Alcoholic beerages and tobacco,485.3264091869946,2009-04-01,79.10047469656793,Urban,April
44,0,1,03,Clothing and footwear,530.7676668306442,2009-04-01,84.67509689243043,Urban,April
45,0,1,04,"Housing, water, electricity, gas and other fuels",2075.484272456249,2009-04-01,90.43763663018844,Urban,April
46,0,1,05,"Furnishing, household equipment and routine household maintenance",375.48340240274274,2009-04-01,93.4374894309329,Urban,April
47,0,1,06,Health,132.54444317531355,2009-04-01,88.05361524062708,Urban,April
48,0,1,07,Transport,1245.1702845755299,2009-04-01,77.6076902199688,Urban,April
49,0,1,08,Communication,314.3098917023506,2009-04-01,110.70313784535296,Urban,April
50,0,1,09,Recreation and culture,307.16719129739846,2009-04-01,98.13833280719342,Urban,April
51,0,1,10,Education,274.8664135596747,2009-04-01,53.188490500069655,Urban,April
52,0,1,11,Restaurants and hotels,882.054431118825,2009-04-01,85.03261541376895,Urban,April
53,0,1,12,Miscellaneous goods and serices,638.9197634176433,2009-04-01,87.23422397587991,Urban,April
54,0,1,00,GENERAL INDEX (CPI),9999.999999999996,2009-05-01,81.21330006592875,Urban,May
55,0,1,01,Food and non-alcoholic beerages,2737.905830276656,2009-05-01,76.06593446377622,Urban,May
56,0,1,01.1.1,Bread and cereals,539.3638606485538,2009-05-01,83.90646518322832,Urban,May
57,0,1,01.1.2,Meat,197.40035443603645,2009-05-01,85.85972095525682,Urban,May
58,0,1,01.1.4,"Milk, cheese and eggs",132.06730190968523,2009-05-01,62.8558591918923,Urban,May
59,0,1,01.1.7,Vegetables,885.603708112186,2009-05-01,72.99849190349133,Urban,May
60,0,1,01.2,Non-alcoholic beerages,132.12406477416687,2009-05-01,82.35603743810987,Urban,May
61,0,1,02,Alcoholic beerages and tobacco,485.3264091869946,2009-05-01,79.39799022283448,Urban,May
62,0,1,03,Clothing and footwear,530.7676668306442,2009-05-01,84.02657380340011,Urban,May
63,0,1,04,"Housing, water, electricity, gas and other fuels",2075.484272456249,2009-05-01,90.54483049195693,Urban,May
64,0,1,05,"Furnishing, household equipment and routine household maintenance",375.48340240274274,2009-05-01,93.41388909235556,Urban,May
65,0,1,06,Health,132.54444317531355,2009-05-01,87.15764292274635,Urban,May
66,0,1,07,Transport,1245.1702845755299,2009-05-01,77.28055114196411,Urban,May
67,0,1,08,Communication,314.3098917023506,2009-05-01,107.14540987911812,Urban,May
68,0,1,09,Recreation and culture,307.16719129739846,2009-05-01,98.28911861192014,Urban,May
69,0,1,10,Education,274.8664135596747,2009-05-01,53.188490500069655,Urban,May
70,0,1,11,Restaurants and hotels,882.054431118825,2009-05-01,85.16726583821398,Urban,May
71,0,1,12,Miscellaneous goods and serices,638.9197634176433,2009-05-01,87.10800416055294,Urban,May
72,0,1,00,GENERAL INDEX (CPI),9999.999999999996,2009-06-01,80.83823094567516,Urban,June
73,0,1,01,Food and non-alcoholic beerages,2737.905830276656,2009-06-01,75.10136668835035,Urban,June
74,0,1,01.1.1,Bread and cereals,539.3638606485538,2009-06-01,83.4484967908018,Urban,June
75,0,1,01.1.2,Meat,197.40035443603645,2009-06-01,82.34285066288093,Urban,June
76,0,1,01.1.4,"Milk, cheese and eggs",132.06730190968523,2009-06-01,62.67612674170278,Urban,June
77,0,1,01.1.7,Vegetables,885.603708112186,2009-06-01,71.98779111288037,Urban,June
78,0,1,01.2,Non-alcoholic beerages,132.12406477416687,2009-06-01,82.57826926803499,Urban,June
79,0,1,02,Alcoholic beerages and tobacco,485.3264091869946,2009-06-01,79.27929325935212,Urban,June
80,0,1,03,Clothing and footwear,530.7676668306442,2009-06-01,82.82258236229936,Urban,June
81,0,1,04,"Housing, water, electricity, gas and other fuels",2075.484272456249,2009-06-01,90.46228042449738,Urban,June
82,0,1,05,"Furnishing, household equipment and routine household maintenance",375.48340240274274,2009-06-01,93.08261861301887,Urban,June
83,0,1,06,Health,132.54444317531355,2009-06-01,87.11049961721311,Urban,June
84,0,1,07,Transport,1245.1702845755299,2009-06-01,77.56336112189858,Urban,June
85,0,1,08,Communication,314.3098917023506,2009-06-01,107.77101878613233,Urban,June
86,0,1,09,Recreation and culture,307.16719129739846,2009-06-01,96.63984554740256,Urban,June
87,0,1,10,Education,274.8664135596747,2009-06-01,53.188490500069655,Urban,June
88,0,1,11,Restaurants and hotels,882.054431118825,2009-06-01,85.68335599864031,Urban,June
